Title,Description,Status,Label,Priority
Setup: 学習環境とAPI準備 (Appendix),[教材](curriculum/appendix/index.md) を確認し、Google Colabの準備、ライブラリのインストール、およびOpenAI APIキーの安全なシークレット設定を行います。,Todo,Setup,High
Unit 11: PyTorch Basics & Simple MLP,[教材](curriculum/unit11_pytorch_basics/index.md) | 「魔法のレゴブロック」PyTorchを学び、Tensor操作から多層パーセプトロン（MLP）での分類を実装します。,Todo,Chapter-2: Deep-Learning,Medium
Unit 12: Optimizers & Loss Functions,[教材](curriculum/unit12_optimizers_loss/index.md) | 坂を下る最適化手法（SGD/Adam）とズレの測定（MSE/CrossEntropy）を学び、MNIST画像分類モデルの訓練ループを実装します。,Todo,Chapter-2: Deep-Learning,Medium
Unit 13: Regularization in DL,"[教材](curriculum/unit13_regularization/index.md) | ディープラーニングの過学習を防ぐ技術（Dropout, BatchNorm, Early Stopping）を学び、汎化性能を高めたモデルを構築します。",Todo,Chapter-2: Deep-Learning,Medium
Unit 14: CNN Basics,[教材](curriculum/unit14_cnn_basics/index.md) | 目の仕組みを模した画像認識（畳み込み・プーリング）を学び、CIFAR-10データセットを用いたカラー画像分類を実装します。,Todo,Chapter-2: Deep-Learning,Medium
Unit 15: Transfer Learning with ResNet,[教材](curriculum/unit15_transfer_learning/index.md) | 天才の脳を借りる「転移学習」を学び、事前学習済みResNetを使ってカスタムの画像（犬猫など）の分類を実装します。,Todo,Chapter-2: Deep-Learning,Medium
Unit 16: Deep Learning Capstone Project,"[教材](curriculum/unit16_deep_learning_capstone/index.md) | 第2章末 総合演習。極小データかつ小サイズ画像（120枚, 64x64）という厳しい制約下で、スクラッチCNNとResNet転移学習の2つを実装・比較検証し、なぜそのモデルを選択したかの意思決定パイプラインを実装します。",Todo,Chapter-2: Deep-Learning,High
Unit 17: NLP Preprocessing & TF-IDF,[教材](curriculum/unit17_nlp_preprocessing_tfidf/index.md) | テキストの前処理と単語の重要度計算（TF-IDF）を学び、ニュース記事の類似度検索を実装します。,Todo,Chapter-3: NLP-Transformers,Medium
Unit 18: Word Embeddings (Word2Vec),[教材](curriculum/unit18_word_embeddings_word2vec/index.md) | 単語をベクトル空間に配置するWord2Vecを学び、「王様 - 男性 + 女性 = 女王」のような単語の足し引き算を実装します。,Todo,Chapter-3: NLP-Transformers,Medium
Unit 19: RNNs & LSTMs,[教材](curriculum/unit19_rnns_lstms/index.md) | 文脈と記憶を持つネットワークを学び、映画レビューの感情分析（ポジティブ/ネガティブ）を実装します。,Todo,Chapter-3: NLP-Transformers,Medium
Unit 20: Attention & Transformers,[教材](curriculum/unit20_attention_transformers/index.md) | 重要な情報に集中する「Attention機構」とTransformerを理解し、Self-Attentionをゼロからスクラッチ実装します。,Todo,Chapter-3: NLP-Transformers,Medium
Unit 21: NLP Capstone Project,[教材](curriculum/unit21_nlp_capstone/index.md) | 第3章末 総合演習。極小コーパス（5文）環境において、RNN/LSTM+AttentionとTransformerの2つの翻訳モデルを自分で実装・比較検証し、過学習リスクとスケールメリットを考慮してどちらを適用すべきか論理的決定を下します。,Todo,Chapter-3: NLP-Transformers,High
Unit 22: LLMからAIエージェントへの進化,[教材](curriculum/unit22_llm_evolution/index.md) | LLMからAIエージェントへの進化のロードマップを学び、その最初のハブとなるLLM APIと感情分析関数を実装します。,Todo,Chapter-4: LLM-Agents,High
Unit 23: LLMからAIエージェントへの進化（API利用とプロンプト）,[教材](curriculum/unit23_llm_api/index.md) | LLMからAIエージェントへの進化のロードマップを学び、その最初のハブとなるLLM APIと感情分析関数を実装します。,Todo,Chapter-4: LLM-Agents,High
Unit 24: Vector DBs & RAG From Scratch,[教材](curriculum/unit24_vector_dbs_rag_from_scratch/index.md) | 外部データとLLMを組み合わせる RAG（検索拡張生成）の仕組みを学び、ライブラリを使わずNumPyとAPIだけで手組み RAG を実装します。,Todo,Chapter-4: LLM-Agents,High
Unit 25: LangChainの基礎とRAG,[教材](curriculum/unit25_langchain_basics_rag/index.md) | LangChainの4大主要コンポーネントとLCEL（パイプ記号による定義）を学び、前回のスクラッチRAGをLangChainでエレガントに再構築します。,Todo,Chapter-4: LLM-Agents,High
Unit 26: LlamaIndex Basics & RAG,[教材](curriculum/unit26_llamaindex_basics_rag/index.md) | RAG特化フレームワークを学び、手組みRAG（Unit 23）とLlamaIndexを比較実装し、本番でのデータインデックス化とクエリエンジンの強力な抽象化設計を適用・決定します。,Todo,Chapter-4: LLM-Agents,High
Unit 27: Prompt Chaining,[教材](curriculum/unit27_prompt_chaining/index.md) | 複雑な思考を段階的なプロンプトのチェーン（連鎖）に分解し、エラーログの分析から修正コードの生成までのパイプラインを実装します。,Todo,Chapter-4: LLM-Agents,High
Unit 28: Context-Aware Chatbot,[教材](curriculum/unit28_context_aware_chatbot/index.md) | チャットの会話履歴（メモリ）を管理する仕組みを学び、Streamlitを用いた対話型WebUIチャットボットを実装します。,Todo,Chapter-4: LLM-Agents,High
Unit 29: AIエージェントの基本原理とスクラッチReAct実装,[教材](curriculum/unit29_ai_agent_implementation/index.md) | OpenAIのTool Callingと自律思考Whileループを Python でスクラッチ実装し、自律エージェントの基礎原理を習得してEC返品自律審査エージェントを構築します。,Todo,Chapter-4: LLM-Agents,High
Unit 30: Model Context Protocol (MCP) の基本原理とサーバー自作,[教材](curriculum/unit30_mcp_fundamentals/index.md) | AIと外部ツール接続の標準規格 MCP (Model Context Protocol) のアーキテクチャを学び、JSON-RPCベースのMCPサーバーを自作してエージェントに高度なデータ・ツール機能を提供します。,Todo,Chapter-4: LLM-Agents,High
Unit 31: smolagents & AI Agent,[教材](curriculum/unit31_smolagents_code_agent/index.md) | Hugging Faceの最新軽量コード実行型フレームワーク `smolagents` を学び、従来の ReAct (Tool Calling) エージェントと CodeAgent のタスク成功率を定量対比・本番実装します。,Todo,Chapter-4: LLM-Agents,High
Unit 32: LangGraph — グラフベースのステートフルエージェント,[教材](curriculum/unit32_langgraph_stateful_agents/index.md) | State / Node / Edge によるグラフワークフロー制御を学び、カスタマーサポートチケットの自動振り分けと Human-in-the-loop 承認ゲートを API キー不要のローカルシミュレーションで実装します。,Todo,Chapter-4: LLM-Agents,High
Unit 33: Agent SDK: 汎用・業務自動化,"[教材](curriculum/unit33_agent_sdk_general_agents/index.md) | OpenAI, Bedrock, Llama Stackなどの提供SDKによるインプロセス/データ統合主体のエージェント構築を学び、状態永続化（Episodic Memory）と Stripe 決済API連携を実装します。",Todo,Chapter-4: LLM-Agents,High
Unit 34: Agent SDK: コーディング・自律開発,[教材](curriculum/unit34_agent_sdk_coding_agents/index.md) | CodexやGoogle Antigravityなどの自律開発・コーディングエージェントSDKの設計思想である、サンドボックス/ファイル・コマンド操作主体のアプローチを学び、「Deny-by-Default」安全ポリシーと人間承認フックを実装します。,Todo,Chapter-4: LLM-Agents,High
Unit 35: Tokenizer & BPE Fundamentals,[教材](curriculum/unit35_tokenizer_bpe/index.md) | Token、Token ID、BPEの最小実装、言語ごとのToken数を学びます。,Todo,Chapter-4: LLM-Applied,High
Unit 36: LoRA / QLoRA Fundamentals,[教材](curriculum/unit36_lora_qlora/index.md) | 凍結したベースモデルに低ランクアダプターを追加するLoRAの仕組みと、QLoRAの量子化トレードオフを学びます。,Todo,Chapter-4: LLM-Applied,High
Unit 37: LLM Harness & Agent Capstone Project,[教材](curriculum/unit37_llm_harness_capstone/index.md) | 第5章の最初の総合演習。LLM-as-a-Judgeによる品質評価ハーネスを実装・検証します。,Todo,Chapter-5: Real-World-Capstones,Critical
Unit 38: マルチモーダル不正検知システム,[教材](curriculum/unit38_multimodal_fraud_detection/index.md) | テーブル・テキスト・画像データを融合する不正検知分類モデルを実装します。,Todo,Chapter-5: Real-World-Capstones,High
Unit 39: 自律型ナレッジ抽出・構造化エージェント,[教材](curriculum/unit39_knowledge_structuring_agent/index.md) | 非構造化データから構造化JSONを抽出するパイプラインを実装します。,Todo,Chapter-5: Real-World-Capstones,High
Unit 40: エンタープライズAI自動評価・防御ハーネス,[教材](curriculum/unit40_guardrails_evaluation_harness/index.md) | 入力・出力ガードレールとLLM-as-a-Judge評価を組み合わせた監査パイプラインを実装します。,Todo,Chapter-5: Real-World-Capstones,High
Unit 41: 時系列需要予測・価格最適化システム,[教材](curriculum/unit41_timeseries_price_optimizer/index.md) | 時系列データリークを検査し、需要予測と価格最適化を実装します。,Todo,Chapter-5: Real-World-Capstones,High
Unit 42: 自律型カスタマーサポート・マルチエージェント,[教材](curriculum/unit42_multiagent_customer_support/index.md) | 複数エージェントの協調によるカスタマーサポートを実装します。,Todo,Chapter-5: Real-World-Capstones,Critical
